,ts_code,name,industry
654,002146.SZ,荣盛发展,全国地产
655,002148.SZ,北纬科技,互联网
656,002149.SZ,西部材料,小金属
657,002150.SZ,通润装备,机械基件
658,002151.SZ,北斗星通,通信设备
659,002152.SZ,广电运通,IT设备
660,002153.SZ,石基信息,软件服务
661,002154.SZ,报喜鸟,服饰
662,002155.SZ,湖南黄金,黄金
663,002156.SZ,通富微电,半导体
664,002157.SZ,*ST正邦,农业综合
665,002158.SZ,汉钟精机,工程机械
666,002159.SZ,三特索道,旅游服务
667,002160.SZ,常铝股份,铝
668,002161.SZ,远望谷,通信设备
669,002162.SZ,悦心健康,陶瓷
670,002163.SZ,海南发展,装修装饰
671,002164.SZ,宁波东力,机械基件
672,002165.SZ,红宝丽,化工原料
673,002166.SZ,莱茵生物,中成药
674,002167.SZ,东方锆业,小金属
675,002168.SZ,惠程科技,互联网
676,002169.SZ,智光电气,电气设备
677,002170.SZ,芭田股份,农药化肥
678,002171.SZ,楚江新材,铜
679,002172.SZ,澳洋健康,医疗保健
680,002173.SZ,创新医疗,医疗保健
681,002174.SZ,游族网络,互联网
682,002175.SZ,东方智造,电器仪表
683,002176.SZ,江特电机,小金属
684,002177.SZ,御银股份,其他商业
685,002178.SZ,延华智能,软件服务
686,002179.SZ,中航光电,元器件
687,002180.SZ,纳思达,IT设备
688,002181.SZ,粤传媒,出版业
689,002182.SZ,云海金属,小金属
690,002183.SZ,怡亚通,仓储物流
691,002184.SZ,海得控制,软件服务
692,002185.SZ,华天科技,半导体
693,002186.SZ,全聚德,酒店餐饮
694,002187.SZ,广百股份,百货
695,002188.SZ,中天服务,房产服务
696,002189.SZ,中光学,元器件
697,002190.SZ,成飞集成,汽车配件
698,002191.SZ,劲嘉股份,广告包装
699,002192.SZ,融捷股份,小金属
700,002193.SZ,如意集团,纺织
701,002194.SZ,武汉凡谷,通信设备
702,002195.SZ,岩山科技,软件服务
703,002196.SZ,方正电机,纺织机械
704,002197.SZ,证通电子,IT设备
705,002198.SZ,嘉应制药,中成药
706,002199.SZ,东晶电子,元器件
